name,CCS,MW,WPATH,WPOL,MLogP,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings3,nRings4,nRings5,nRings6,nRings7,nRings8,nRings9,SC-3,SC-4,SC-5,SC-6,VC-3,VC-4,VC-5,VC-6,HybRatio,nAtom,nAromBond,nAtomLAC,MDEC-11,MDEC-12,MDEC-13,MDEC-14,MDEC-22,MDEC-23,MDEC-24,MDEC-33,MDEC-34,MDEC-44,MDEO-11,MDEO-12,MDEO-22,MDEN-11,MDEN-12,MDEN-13,MDEN-22,MDEN-23,MDEN-33,ALogP,ALogp2,AMR,Wlambda1.unity,Wlambda2.unity,Wlambda3.unity,Wnu1.unity,Wnu2.unity,Wgamma1.unity,Wgamma2.unity,Wgamma3.unity,Weta1.unity,Weta2.unity,Weta3.unity,WT.unity,WA.unity,WV.unity,WK.unity,WG.unity,WD.unity,khs.sLi,khs.ssBe,khs.ssssBe,khs.ssBH,khs.sssB,khs.ssssB,khs.sCH3,khs.dCH2,khs.ssCH2,khs.tCH,khs.dsCH,khs.aaCH,khs.sssCH,khs.ddC,khs.tsC,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.sNH3,khs.sNH2,khs.ssNH2,khs.dNH,khs.ssNH,khs.aaNH,khs.tN,khs.sssNH,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.aasN,khs.ssssN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.sSiH3,khs.ssSiH2,khs.sssSiH,khs.ssssSi,khs.sPH2,khs.ssPH,khs.sssP,khs.dsssP,khs.sssssP,khs.sSH,khs.dS,khs.ssS,khs.aaS,khs.dssS,khs.ddssS,khs.sCl,khs.sGeH3,khs.ssGeH2,khs.sssGeH,khs.ssssGe,khs.sAsH2,khs.ssAsH,khs.sssAs,khs.sssdAs,khs.sssssAs,khs.sSeH,khs.dSe,khs.ssSe,khs.aaSe,khs.dssSe,khs.ddssSe,khs.sBr,khs.sSnH3,khs.ssSnH2,khs.sssSnH,khs.ssssSn,khs.sI,khs.sPbH3,khs.ssPbH2,khs.sssPbH,khs.ssssPb,nHBDon,BCUTw-1l,BCUTw-1h,BCUTc-1l,BCUTc-1h,BCUTp-1l,BCUTp-1h,nBase,PetitjeanNumber,topoShape,geomShape,nSpiroAtoms,bpol,VABC,ECCEN,VAdjMat,nAtomLC,nAcid,XLogP,apol,LipinskiFailures,Zagreb,WTPT-1,WTPT-2,WTPT-3,WTPT-4,WTPT-5,SP-0,SP-1,SP-2,SP-3,SP-4,SP-5,SP-6,SP-7,VP-0,VP-1,VP-2,VP-3,VP-4,VP-5,VP-6,VP-7,nRotB,MOMI-X,MOMI-Y,MOMI-Z,MOMI-XY,MOMI-XZ,MOMI-YZ,MOMI-R,FMF,TopoPSA,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,PPSA-1,PPSA-2,PPSA-3,PNSA-1,PNSA-2,PNSA-3,DPSA-1,DPSA-2,DPSA-3,FPSA-1,FPSA-2,FPSA-3,FNSA-1,FNSA-2,FNSA-3,WPSA-1,WPSA-2,WPSA-3,WNSA-1,WNSA-2,WNSA-3,RPCG,RNCG,RPCS,RNCS,THSA,TPSA,RHSA,RPSA,GRAV-1,GRAV-2,GRAV-3,GRAVH-1,GRAVH-2,GRAVH-3,GRAV-4,GRAV-5,GRAV-6,LOBMAX,LOBMIN,SCH-3,SCH-4,SCH-5,SCH-6,SCH-7,VCH-3,VCH-4,VCH-5,VCH-6,VCH-7,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,SPC-4,SPC-5,SPC-6,VPC-4,VPC-5,VPC-6,tpsaEfficiency,nAtomP,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,fragC,Kier1,Kier2,Kier3,naAromAtom,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,nHBAcc,nB,nA,nR,nN,nD,nC,nF,nQ,nE,nG,nH,nI,nP,nL,nK,nM,nS,nT,nY,nV,nW
"1,8-Diazacyclotetradecane-2,9-dione PA6 dimer",152.46,227.1754,478,18,2.34,0,0,1,0,0,0,0,0,0,0,0,0.577,0,0,0,0.144,0,0,0,0.833,38,0,0,0,0,0,0,13.9,6.42,0,0.143,0,0,0.111,0,0,0,0,0,0.143,0,0,1.08,1.17,62.9,0.802,4.06,5.23,0.0794,0.402,0,0,0,0.47,0.59,0.614,10.1,28.7,55.9,0.139,0,1.67,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.9,16,-0.282,0.201,4.62,7.65,0,0.222,0.286,0.536,0,27.3,238,234,5,0,0,0.808,39.6,0,68,31.6,1.98,11,5.04,5.95,11.6,7.79,6.19,4.29,2.97,2.05,1.42,0.984,9.89,6.32,4.32,2.81,1.81,1.15,0.742,0.473,0,1730,1010,946,1.71,1.83,1.07,5.73,0.368,58.2,0.342,-0.186,0.059,-0.032,0.0154,365,493,16.1,63.8,-86.3,-15.6,301,579,31.7,0.851,1.15,0.0376,0.149,-0.201,-0.0364,156,211,6.89,27.3,-37,-6.68,0.148,0.208,0.362,4.68,374,54.6,0.873,0.127,1210,34.8,10.7,1440,38,11.3,2500,50,13.6,1.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,8,0,0,0.816,0.866,0.816,0.204,0.217,0.204,0.257,3,18.3,17.3,20.4,20,20,1200,14.1,9.07,7.86,0,834,860,930,931,931,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-hydroxybenzaldehyde,136.33,123.044079,90,9,2.01,1,1,1,1,0,0,0,1,0,0,0,0.493,0,0,0,0.171,0,0,0,0,15,6,0,0,0,0,0,4.88,6.6,0,0.333,0,0,0.167,0,0,0,0,0,0,0,0,1.32,1.75,34.3,0.0384,1.75,3.99,0.00665,0.302,0,0,0,0.12,0.482,0.49,5.77,7.19,13.2,0.268,0,1.09,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,16,-0.381,0.233,3.79,7.71,0,0.5,1,0.643,0,7.52,113,77,4.17,2,0,1.31,17.9,0,40,17.5,1.95,4.96,4.96,0,6.69,4.33,3.53,2.71,1.74,1.37,0.687,0.118,4.74,2.57,1.71,1.03,0.553,0.348,0.0972,0.0131,1,593,495,99.7,1.2,5.95,4.96,3.98,0.4,37.3,0.192,-0.0734,-0.0155,0.0136,0.00671,162,133,17,120,-98.7,-26,41.5,231,43,0.573,0.47,0.0601,0.427,-0.349,-0.0922,45.7,37.5,4.79,34,-27.9,-7.35,0.266,0.44,7.67,12.8,178,104,0.631,0.369,751,27.4,9.09,819,28.6,9.36,1260,35.4,10.8,1.52,1.52,0,0,0,0.0833,0.142,0,0,0,0.0278,0.0285,0,0,1,5,1,0,0,0,0,0.901,0.937,1.07,0.236,0.201,0.186,0.306,9,10.5,9.66,12,10.3,5,153,7.11,3.24,2,6,370,398,474,349,128,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benzaldehyde,119.62,107.049165,64,7,2.12,1,1,1,1,0,0,0,1,0,0,0,0.204,0,0,0,0.0962,0,0,0,0,14,6,0,0,0,0,0,7.73,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,2.53,32.6,8.05E-07,1.86,3.28,1.57E-07,0.363,0,0,0,0.144,0.516,0.516,5.14,6.11,11.3,0.228,0,1.18,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,-0.381,0.233,3.77,7.65,0,0.4,0.667,0.564,0,7.52,105,60,4,2,0,1.72,17.1,0,34,15.7,1.96,2.45,2.45,0,5.82,3.93,2.91,2.3,1.6,1.11,0.348,0.144,4.37,2.44,1.53,0.936,0.532,0.302,0.0632,0.0151,1,410,314,96.1,1.31,4.27,3.27,3.7,0.429,17.1,0.137,-0.0562,-0.0105,-0.00189,-6.42E-05,160,93.6,12.1,104,-60.9,-16.8,55.7,154,29,0.606,0.355,0.046,0.394,-0.231,-0.0638,42.1,24.7,3.2,27.4,-16.1,-4.44,0.256,0.508,3.81,22.9,219,45.2,0.829,0.171,646,25.4,8.65,708,26.6,8.91,1030,32.1,10.1,1.39,1.39,0,0,0,0.102,0.0722,0,0,0,0.0321,0.0185,0,0,1,5,1,0,0,0,0,0.493,0.595,0.493,0.15,0.142,0.1,0.161,8,8.77,8.33,9.33,7.66,3.66,140,6.12,3.11,1.8,6,331,349,391,269,87,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coumarin,124.58,147.044079,144,14,2.23,2,2,1,1,0,0,0,2,0,0,0,0.622,0,0.0833,0,0.19,0,0.0196,0,0,17,6,0,0,0,0,0,6.63,8.44,0,1.65,0,0,0,0.5,0,0,0,0,0,0,0,1.9,3.61,41.6,8.78E-07,2.06,4.63,1.31E-07,0.308,0,0,0,0.104,0.541,0.557,6.68,9.52,16.2,0.269,0,1.2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,-0.291,0.308,4.21,8.74,0,0.5,1,0.862,0,9.43,133,108,4.58,0,0,1.77,21.4,0,56,22.5,2.05,5.59,5.59,0,7.68,5.36,4.72,3.8,3.11,2.61,1.44,0.812,5.78,3.35,2.29,1.53,1.01,0.67,0.274,0.128,0,738,563,175,1.31,4.22,3.22,4.24,0.588,26.3,0.248,-0.161,0.0573,-0.00993,-0.00954,172,135,12.1,125,-97.7,-20.4,47.8,233,32.6,0.58,0.455,0.0409,0.42,-0.329,-0.0688,51.2,40.1,3.6,37,-29,-6.07,0.371,0.349,2.94,5.59,223,74.3,0.75,0.25,1010,31.7,10,1070,32.7,10.2,1790,42.3,12.1,1.38,1.38,0,0,0,0.151,0.282,0,0,0,0.0448,0.054,0,0,1,7,1,0,0,0,0,1.29,1.95,2.71,0.362,0.451,0.478,0.18,11,12.5,13,18.1,15.7,9,214,7.64,3.16,1.6,6,565,644,849,715,360,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
creatine,127.19,132.076777,96,8,1.35,0,0,0,0,0,0,0,0,0,0,0,0.977,0,0.236,0,0.287,0,0.0456,0,0.5,18,0,2,0,0.5,0.816,0,0,1.41,0,0.333,0,0,0.5,0,0,0.5,0,1,0,0,0,-0.906,0.821,31.2,0.575,1.72,3.71,0.0956,0.287,0,0,0,0.391,0.402,0.444,6.01,9.52,19.2,0.213,0,1.24,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,16,-0.331,0.273,3.82,7.97,3,0.4,0.667,0.575,0,12.1,123,63,4,6,1,-2.4,17.9,0,36,16.3,1.81,12.5,4.73,7.79,7.44,4.04,3.85,1.98,1.02,0.544,0,0,5.09,2.31,1.64,0.784,0.288,0.0729,0,0,3,540,473,173,1.14,3.12,2.74,4.12,0,90.4,0.342,-0.217,0.0214,0.135,-0.186,193,271,21.5,114,-160,-31.2,78.9,431,52.7,0.628,0.88,0.0699,0.372,-0.521,-0.101,59.4,83.2,6.61,35.1,-49.2,-9.59,0.195,0.236,0.773,7.72,168,139,0.548,0.452,735,27.1,9.02,847,29.1,9.46,1330,36.5,11,1.41,1.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.41,1.05,1.36,0.388,0.219,0.145,0.69,4,11.6,9.5,12.7,9.77,7.66,217,9,3.92,4.5,0,326,328,371,280,168,5,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Indol,121.28,118.065149,79,9,2.23,2,2,1,1,0,0,1,1,0,0,0,0.333,0,0.0833,0,0.156,0,0.0241,0,0,16,10,0,0,0,0,0,6.86,6.67,0,1,0,0,0,0,0,0,0,0,0,0,0,2.12,4.51,37.1,9.34E-07,2.01,3.91,1.58E-07,0.34,0,0,0,0.115,0.505,0.548,5.92,7.86,13.8,0.245,0,1.17,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,14,-0.335,0.054,6.58,8.44,0,0.25,0.333,0.736,0,8.31,101,70,4.32,0,0,2.17,19.8,0,46,18.6,2.06,3.05,0,3.05,6.1,4.47,3.74,3.22,2.69,1.78,0.937,0.56,4.96,2.99,2.06,1.46,0.995,0.542,0.226,0.109,0,436,311,126,1.41,3.47,2.47,3.72,0.562,15.8,0.036,-0.0179,-9.98E-04,8.22E-04,7.92E-05,186,102,13.6,91.9,-50.3,-5.78,94.3,152,19.4,0.67,0.366,0.049,0.33,-0.181,-0.0208,51.8,28.3,3.79,25.6,-14,-1.61,0.243,0.483,6.34,4.1,270,8.48,0.97,0.0305,774,27.8,9.18,851,29.2,9.48,1280,35.7,10.9,1.31,1.29,0,0,0.118,0.25,0.295,0,0,0.0417,0.0759,0.0716,0,0,1,6,1,0,0,0,0,0.943,1.5,1.41,0.353,0.452,0.346,0.135,9,9.36,10.3,13.5,9.33,4.17,217,5.76,2.32,0.997,9,485,552,721,465,186,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nicotinamide,123.31,123.055313,88,9,1.79,1,1,1,1,0,0,0,1,0,0,0,0.5,0,0.167,0,0.142,0,0.0196,0,0,15,6,0,0,0,0,0,3.53,3.94,0,1,0,0,0,0,0,0,0.25,0,0,0,0,-0.318,0.101,32.5,1.03E-06,1.51,4.34,1.77E-07,0.259,0,0,0,0.135,0.539,0.543,5.85,6.57,12.4,0.306,0,1.22,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,16,-0.291,0.253,4.31,8.04,0,0.4,0.667,0.841,0,8.18,109,69,4.17,3,0,-0.343,17.6,0,40,17.5,1.95,7.8,2.41,5.39,6.69,4.3,3.64,2.59,1.8,1.25,0.451,0.236,4.74,2.5,1.61,0.946,0.509,0.276,0.0673,0.0245,1,528,402,126,1.31,4.18,3.18,3.93,0.4,56,0.234,-0.107,0.0118,-0.0883,0.0992,168,151,14.6,111,-99.7,-24.6,57,250,39.2,0.602,0.54,0.0522,0.398,-0.357,-0.0881,47,42.1,4.08,31.1,-27.8,-6.87,0.256,0.307,2.03,12.6,184,95.1,0.66,0.34,780,27.9,9.2,851,29.2,9.47,1320,36.3,11,1.58,1.58,0,0,0,0.102,0.0589,0,0,0,0.0248,0.0124,0,0,3,2,1,0,0,0,0,1.04,1.05,1.04,0.236,0.19,0.139,0.459,9,10.5,9.83,12.4,10.3,6.41,153,7.11,3.24,2,6,374,400,473,359,163,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"n,n-dimethylaniline",127,122.096449,88,9,2.23,1,1,1,1,0,0,0,1,0,0,0,0.5,0,0.167,0,0.298,0,0.0745,0,0.25,20,6,0,0.5,2.68,1,0,6.08,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,3.97,40.5,0.158,2.15,4.55,0.0231,0.314,0,0,0,0.2,0.636,0.577,6.87,10.9,19.3,0.248,0,1.41,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,14,-0.281,0.0982,5.91,8.59,0,0.4,0.667,0.853,0,14,127,69,4.17,3,0,2.23,22.5,0,40,17.5,1.95,3.02,0,3.02,6.69,4.3,3.64,2.59,1.8,1.25,0.451,0.236,5.83,3.03,2.23,1.27,0.726,0.414,0.128,0.0574,1,544,405,145,1.34,3.74,2.79,4.06,0.3,3.24,0.0815,-0.0552,0.0104,0.00376,3.54E-04,236,134,11.6,81,-46.1,-4.06,155,180,15.7,0.745,0.423,0.0367,0.255,-0.145,-0.0128,75,42.6,3.69,25.7,-14.6,-1.29,0.112,0.494,1.44,0.873,316,1.77,0.994,0.00557,694,26.3,8.85,806,28.4,9.3,1160,34,10.5,2.48,2.48,0,0,0,0.102,0.0589,0,0,0,0.0321,0.0143,0,0,0,6,0,0,0,0,0,1.04,1.05,1.04,0.493,0.396,0.329,0.0268,7,9.36,9.5,11.3,9.33,5.17,328,7.11,3.24,2,6,452,480,570,441,213,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parathion-ethyl,158.85,292.040331,661,24,1.68,1,1,1,1,0,0,0,1,0,0,0,1.63,0.177,0.167,0,1.09,0.112,0.0124,0,0.4,32,6,2,0.167,2.64,0.632,0,4.35,5.47,0,0.333,0,0,0.5,0.825,1.5,0,0,0,0,0,0,0.752,0.566,72.2,0.649,3.48,10.4,0.0446,0.239,0,0,0,0.426,0.379,0.452,14.6,45.3,83.5,0.287,0,1.26,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,32,-0.309,0.298,3.53,9.58,0,0.5,1,0.882,0,28.6,241,274,5.17,7,0,3.92,38.6,0,84,35,1.95,22.7,13.6,3.03,13.6,8.5,7.54,5.32,4.29,2.68,1.81,1.07,11.8,7.89,6.06,4.28,3.25,1.37,0.787,0.433,7,3170,2830,677,1.12,4.68,4.19,6.28,0.188,115,0.455,-0.348,0.308,-0.194,-0.0449,321,430,13.8,175,-234,-23.1,147,664,36.9,0.648,0.867,0.0279,0.352,-0.471,-0.0465,159,213,6.86,86.6,-116,-11.4,0.223,0.23,0.54,2.51,459,37,0.925,0.0746,2100,45.9,12.8,2250,47.4,13.1,4240,65.1,16.2,1.64,1.64,0,0,0,0.0833,0.107,0,0,0,0.0278,0.0238,0,0,0,6,0,4,0,0,0,2.78,4.11,4.34,1.58,2.44,2.11,0.397,14,34,33.5,41.8,39.6,37.3,718,16.1,7.56,5.27,6,820,910,1180,1150,1010,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pyridoxal phosphate,149.1,248.031874,447,22,1.46,1,1,1,1,0,0,0,1,0,0,0,2.29,0.354,0.283,0,0.552,0.0224,0.0706,0,0.25,26,6,0,0,0.766,1.81,0,1.14,6.09,0,3.97,0,0,2.2,1.73,0,0,0,0,0,0,0,-0.961,0.923,54.7,0.43,2.34,9.71,0.0345,0.187,0,0,0,0.226,0.451,0.553,12.5,27.9,50.1,0.334,0,1.23,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,31,-0.358,0.465,2.51,8.95,0,0.5,1,0.806,0,23.6,197,196,5,4,2,-1.24,30.3,0,78,30.9,1.93,21.2,15,3,12.3,7.35,7.35,4.91,3.49,2.6,1.59,1.02,8.55,4.56,3.32,1.98,1.13,0.705,0.334,0.144,4,2670,2280,508,1.17,5.25,4.49,6.09,0.231,127,0.713,-0.487,0.258,-0.0951,-0.0962,248,504,27.7,188,-383,-50.7,59.4,887,78.4,0.568,1.15,0.0635,0.432,-0.877,-0.116,108,220,12.1,82.3,-167,-22.1,0.221,0.176,0.487,2.79,181,255,0.415,0.585,1810,42.6,12.2,1940,44,12.5,3370,58.1,15,2.29,2.25,0,0,0,0.0556,0.19,0,0,0,0.0161,0.0441,0,0,2,2,2,2,0,0,0,2.86,3.79,4.88,0.809,0.856,0.935,0.513,9,26.7,27.1,31.1,27.8,26,436,14.1,5.56,4.08,6,637,727,977,949,644,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
