name,MolecularFormula,ccs,MW,WPATH,WPOL,MLogP,SC.3,nAtom,MDEC.12,MDEC.23,AMR,Wlambda1.unity,WT.unity,WV.unity,bpol,VABC,ECCEN,VAdjMat,apol,LipinskiFailures,Zagreb,WTPT.1,WTPT.4,SP.0,SP.1,SP.2,SP.3,SP.4,SP.5,SP.6,SP.7,VP.0,VP.1,VP.2,VP.3,VP.4,VP.5,VP.6,VP.7,nRotB,MOMI.X,MOMI.Y,MOMI.Z,MOMI.R,ATSc1,PPSA.1,PPSA.2,PPSA.3,PNSA.2,DPSA.2,FPSA.2,WPSA.1,WPSA.2,WPSA.3,WNSA.1,WNSA.2,WNSA.3,RPCG,RNCG,THSA,GRAV.1,GRAV.2,GRAVH.1,GRAVH.2,GRAVH.3,GRAV.4,GRAV.5,GRAV.6,C1SP3,C2SP3,SPC.4,SPC.5,SPC.6,ATSm2,ATSm3,ATSm4,fragC,Kier1,Kier2,Kier3,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,nB
Triethylphosphate,C6H15O4P,4.887563297,-0.937702421,-0.532644935,-1.034537411,-1.340793677,-0.682998297,-0.736465686,0.082112608,-1.472629214,-1.167681799,-0.336826522,-0.496264564,-0.326782138,0.110053176,-0.90048117,-0.857497446,-1.733970665,-0.912698354,-0.511659629,-1.21924972,-1.167999297,0.37266586,-1.009761292,-1.122301461,-1.200637934,-1.256944407,-1.110075491,-1.346506882,-1.216416738,-1.193662248,-0.965179979,-0.98438797,-1.20012263,-1.122541422,-0.973359915,-1.019903276,-0.851173108,-0.856373428,0.132506655,-0.555682964,-0.545544129,-0.388263601,-0.893198095,0.213096932,-0.266073531,-0.398681868,-0.903716817,0.723364197,-0.509477879,-0.287498424,-0.450141937,-0.370479364,-0.672837159,-0.949061226,0.559373939,0.664605739,3.320934465,0.21327819,-0.60766044,-0.737997788,-0.705283555,-0.73281298,-0.701835688,-0.654537835,-0.829380155,-0.930587743,-0.917748207,1.16390387,-0.622370675,-0.822401223,-0.696689366,-0.815703482,-0.541648115,-0.836450627,-0.814508391,-0.522706262,-0.81119352,-0.540922605,-0.203614788,-1.442823402,-1.396888026,-1.276672752,-1.110712724,-0.985993996,-1.218246654
Tri-m-tolyl phosphate,C21H21O4P,5.239416259,0.397751932,0.029117283,0.160804607,0.759401388,0.50264887,0.22874391,1.050769737,0.660746637,0.542420552,-0.364072339,-0.006105915,-0.0691853,0.503250821,0.339608272,0.029630184,0.730367971,0.434020109,0.669769042,0.488031331,0.507204795,0.48352224,0.417448356,0.48688797,0.569310692,0.28907236,0.531232352,0.336818489,0.394664737,0.018018482,0.358906468,0.286275069,0.153143493,-0.08539794,-0.070376774,-0.170459661,-0.22804063,-0.367954322,0.132506655,-0.141397803,-0.208152815,0.123291922,0.100233131,0.042566611,0.076600295,-0.077940921,-0.25511734,-0.123836623,-0.028637612,-0.039699311,-0.008827108,-0.134502931,-0.150037506,0.406433762,-0.012805252,0.245267215,1.624013106,-0.916077142,0.453988818,0.992464783,1.0068274,0.888416512,0.936221348,0.883320459,0.671975756,0.81462398,0.820058299,0.078982792,-0.622370675,-0.113188507,0.113005383,-0.020597736,0.901999493,0.56876318,0.318095412,-0.033087286,0.359201258,0.238221412,0.250831688,-0.060411023,-0.095171673,-0.150357915,-0.224118459,-0.138816421,0.521797682
"5,6-Dimethylbenzotriazole",C8H9N3,4.877103901,-1.188870646,-0.54235625,-0.934925576,-0.78074166,-0.780536365,-1.012239856,-0.37391104,-0.786554935,-1.127712796,-1.174635399,-0.717448655,-0.436904094,-1.105834926,-1.229179576,-0.827761325,-1.303951842,-1.089898152,-0.511659629,-0.953672668,-1.069151851,-0.982245448,-1.140033978,-1.102242313,-1.013123997,-0.844325067,-0.817746079,-0.778158316,-0.719454734,-0.720111663,-1.115140863,-1.13110941,-1.006798898,-0.873003141,-0.868250766,-0.793005763,-0.713533404,-0.697132162,-1.087839943,-0.587792871,-0.568152825,-0.526059367,-1.22748064,-1.042166103,-0.975053859,-0.678477162,-0.823889189,0.796546525,-0.750345722,-0.938452572,-0.774581081,-0.484938019,-0.743247887,-0.902977574,0.615549085,0.827681832,1.47250227,0.469420636,-0.752430794,-1.077865617,-1.136003292,-1.10178245,-1.175738981,-1.115895324,-0.975181122,-1.161406067,-1.147269822,-0.282657567,-0.622370675,-0.624991498,-0.681494022,-0.61965001,-1.151188217,-1.037195456,-0.98734079,-0.595653542,-1.216608619,-1.111620299,-0.878792408,-0.988297261,-0.928593798,-0.822565123,-0.843863099,-0.903652536,-1.024908395
Bis(2-butoxyethyl) hydrogen phosphate,C12H27O6P,5.146156373,-0.104447576,-0.222629881,-0.735701906,-0.78074166,-0.45674196,0.182781548,0.173317338,-1.472629214,-0.2855088,1.03500037,0.557576533,0.59763358,1.017432357,0.010909866,-0.0397541,-0.328139899,-0.017839376,0.669769042,-0.612216458,-0.335599748,1.074756265,-0.190490845,-0.244156536,-0.48259676,-0.773814167,-0.896918628,-0.937440717,-0.825781488,-0.737086901,-0.15232382,-0.101290999,-0.491268947,-0.650758109,-0.758363929,-0.770252809,-0.641793922,-0.600874382,1.759635453,-0.011161817,-0.055357779,0.186335737,0.872378728,1.023115956,1.021907399,0.481649667,0.563115846,0.275040028,0.302667599,0.782017956,0.621622648,0.231563075,0.422049656,-0.354741032,0.175566498,-0.10065177,0.760401343,-0.485292119,0.526373995,-0.003484898,0.102315952,0.07221132,0.17385518,0.216915198,-0.344690451,-0.26065163,-0.196394563,1.887184588,0.181797258,-0.906483143,-0.911594943,-0.896030946,0.180175689,-0.465072692,-0.604903142,-0.060838969,0.154080524,0.952605405,1.908479308,-1.012153606,-1.058057429,-1.079679584,-0.967485272,-0.847837183,-0.444893616
"Bis(3,5,5-trimethylhexyl)phosphate",C18H39O4P,5.308713143,0.269558063,-0.023174413,-0.436866402,0.339362375,2.501379766,0.918179335,1.868467312,-0.990195357,0.38254454,0.013282228,1.286687525,0.130030299,1.580007449,0.653365841,0.108926509,0.15149648,0.73082977,1.851197712,-0.005183195,0.023372557,0.348031109,0.374024127,-0.00344676,0.546443139,-0.614511764,-0.473650001,-0.955540989,-0.645488296,-0.808499968,0.614521613,0.430228181,1.162722981,-0.100994082,0.163729967,-0.448551321,-0.389871555,-0.441633116,1.352853253,0.504168505,0.637809942,-0.309909146,0.79704745,0.042566611,1.080989093,0.333790365,-0.02561291,0.232185511,0.204171455,0.435355984,0.738013372,0.185174546,0.149208086,-0.049635478,0.118382216,-0.03711563,1.21493385,-0.694863211,0.779722113,0.133458183,0.242299867,0.32937186,0.431411318,0.421962971,-0.13189985,-0.007314444,0.033127051,2.610465306,0.181797258,-0.204581898,-0.075851033,-0.491670661,0.39672283,0.071919727,-0.443102599,0.549698053,0.636717546,0.238221412,2.1465227,-0.336642379,-0.439059443,-0.495735548,-0.638007673,-0.481445317,-0.058217097
Diphenylcresyl phosphate,C19H17O4P,5.195619968,0.196541852,-0.097876836,0.011386855,0.479375379,-0.03301101,-0.04703026,-0.134891748,0.200131396,0.242653028,1.062246187,-0.165407476,0.027655616,0.243135456,0.085614049,-0.069490221,0.548436931,0.159360422,0.669769042,0.260393857,0.314712399,0.48352224,0.156902984,0.308584432,0.272032499,0.179388738,0.281534313,0.336818489,-0.035265183,0.047286133,0.052168295,0.062040415,-0.172131358,-0.241359366,-0.25192894,-0.258943371,-0.445761617,-0.392910042,0.132506655,-0.261529272,-0.338587601,0.249379551,-0.017471991,0.034573002,-0.041563093,-0.135947262,0.004322451,-0.054610097,-0.092212396,-0.078217308,-0.110668992,-0.18089146,-0.062024097,0.24752462,0.061197935,0.437287549,1.730070691,-0.869505788,0.429860426,0.83062296,0.877611479,0.69834133,0.77138542,0.72953463,0.498590822,0.651362238,0.656114289,-0.644297926,-0.622370675,-0.274040875,-0.130120118,-0.099563718,0.741594203,0.368018351,0.218808715,-0.211490962,0.129948673,0.161318885,0.082037283,-0.273862526,-0.297458597,-0.335838496,-0.354820316,-0.271446961,0.328459422
4-Hydroxyphenyl phenyl phosphate,C12H10O5P-,5.090308703,-0.3422416,-0.348129951,-0.536478237,-0.640728656,0.094907768,-0.598578601,-0.88654452,-0.459275685,-0.545307321,-0.692384436,-0.165407476,-0.313224409,-0.27104608,-0.519489835,-0.292511134,-0.195826415,-0.527288794,-0.511659629,-0.346639405,-0.356409737,0.680600248,-0.393137245,-0.371197807,-0.253921227,-0.478712994,-0.385342158,-0.32927155,-0.566898956,-0.438556866,-0.614135181,-0.594053572,-0.69072994,-0.752133036,-0.6866986,-0.656488039,-0.699352344,-0.625830103,-0.274275544,-0.328892713,-0.271506854,-0.442301157,-0.460043248,0.074541046,-0.638288203,-0.325889596,0.323632963,-0.061203099,-0.240852032,-0.232289295,-0.518036526,-0.323082388,-0.123633483,-0.083006398,0.175566498,0.040539653,1.608862022,-0.112721288,-0.873072755,0.183255667,0.296139834,0.07221132,0.184157426,0.216915198,-0.127959283,-0.007314444,0.033127051,-1.005938285,-0.622370675,-0.551876785,-0.436197758,-0.439934328,0.180175689,-0.163955448,-0.351170472,-0.491386505,-0.400952052,-0.374975048,-0.104069369,-0.852692777,-0.832507509,-0.796342007,-0.785047263,-0.740627497,-0.348224486
Di-O-cresylphosphate,C14H14O4P-,5.097363298,-0.255843817,-0.322731128,-0.337254567,-0.220689643,0.182851927,-0.368766792,0.157592385,-0.352606892,-0.305493301,-0.182887655,-0.208296358,-0.242945573,-0.00488152,-0.332729377,-0.312335215,-0.080052117,-0.288069067,-0.511659629,-0.232820669,-0.257562291,0.37266586,-0.262864559,-0.275359655,-0.157877503,-0.303741501,-0.284853923,-0.166369095,-0.534538639,-0.514652757,-0.356815936,-0.400270538,-0.466719901,-0.522089932,-0.524257189,-0.492793176,-0.630115402,-0.603251117,-0.274275544,-0.35022447,-0.310016172,-0.370251083,-0.436502223,-0.074672985,-0.342879733,-0.295180357,-0.354901875,0.169551988,-0.27845965,-0.233573229,-0.362848894,-0.295854338,-0.356869019,-0.156104603,0.259661029,0.386458637,2.093696696,-0.287363865,-0.221606165,0.22060378,0.317675821,0.139296678,0.245970899,0.268177141,-0.041266816,0.09402043,0.131493457,-0.282657567,-0.622370675,-0.266729404,-0.269048976,-0.183975629,0.23631754,-0.098713378,-0.204079069,-0.376811701,-0.280292796,-0.334500034,-0.190630603,-0.665608813,-0.656517886,-0.630049072,-0.627115852,-0.620707384,-0.251555356
Isooctyl-2-phenoxyethyl terephthalate,C24H30O5,5.38728932,0.61375079,0.581915209,0.160804607,1.179440401,-0.288848564,0.78029225,0.148157413,0.709232452,0.799364145,-0.230567835,1.782973158,1.139942712,0.708923435,0.840126299,1.258723215,0.895759826,0.810569679,1.851197712,0.488031331,0.788139642,0.766821877,0.750367442,0.865782988,0.569310692,0.388309923,0.202361764,0.115995161,0.015586743,0.111674964,0.71676767,0.709829416,0.3740849,0.06666445,-0.094265217,-0.157819131,-0.256402751,-0.300217365,1.759635453,1.099212232,1.022903121,0.632145568,2.14359404,0.618106444,1.222785159,0.652256553,0.882426358,-0.499637765,0.651881201,0.653624633,1.096884772,0.507877361,0.958931454,1.089743077,-0.554374034,-0.453630325,-0.481987509,-0.788005919,1.437220802,0.631433023,0.705323584,0.675979544,0.750780929,0.72953463,0.242453986,0.392395337,0.426592675,0.80226351,0.181797258,-0.339844117,-0.488296079,-0.565190712,0.420783624,0.122105934,-0.027569385,0.37922343,0.914233833,1.337118037,1.151068515,0.115372568,-0.004142558,-0.201524972,-0.251348012,-0.260394416,0.715135942
5-Hydroxy-2-ethylhexyl diphenyl phosphate,C20H27O5P,5.22928878,0.469832864,0.073938736,0.011386855,0.479375379,0.134882385,0.50451808,0.390321695,0.091038313,0.513871264,-0.04665857,0.196084529,0.188134849,0.902497661,0.511427893,0.190700844,0.631132858,0.566919957,0.669769042,0.298333436,0.470787314,0.766821877,0.446397842,0.509175912,0.386370266,0.137604502,0.092738234,0.152195707,-0.035265183,-0.1341733,0.410029497,0.457911471,0.183829799,0.047169272,-0.103820594,-0.069335422,-0.21969883,-0.320419615,1.149462154,0.050588003,-0.085171445,0.461026643,0.613427461,0.295697556,0.738315268,0.345164158,0.682857288,-0.216138658,0.338484379,0.486713313,0.524630378,0.183157653,0.55406977,0.454106505,-0.184358096,-0.008877345,0.881610011,-0.380506573,0.858139388,0.83062296,0.877611479,0.821331154,0.874407875,0.832058516,0.471006855,0.623213662,0.656114289,0.078982792,0.181797258,-0.317909703,-0.292927373,-0.296978672,0.853877906,0.383074213,0.159972153,0.173068072,0.552256067,0.709755323,0.720426379,-0.211082672,-0.277229905,-0.380609671,-0.38204987,-0.260394416,0.425128552
