name,MolecularFormula,ccs,MW,WPATH,WPOL,MLogP,SC.3,nAtom,MDEC.12,MDEC.23,AMR,Wlambda1.unity,WT.unity,WV.unity,bpol,VABC,ECCEN,VAdjMat,apol,LipinskiFailures,Zagreb,WTPT.1,WTPT.4,SP.0,SP.1,SP.2,SP.3,SP.4,SP.5,SP.6,SP.7,VP.0,VP.1,VP.2,VP.3,VP.4,VP.5,VP.6,VP.7,nRotB,MOMI.X,MOMI.Y,MOMI.Z,MOMI.R,ATSc1,PPSA.1,PPSA.2,PPSA.3,PNSA.2,DPSA.2,FPSA.2,WPSA.1,WPSA.2,WPSA.3,WNSA.1,WNSA.2,WNSA.3,RPCG,RNCG,THSA,GRAV.1,GRAV.2,GRAVH.1,GRAVH.2,GRAVH.3,GRAV.4,GRAV.5,GRAV.6,C1SP3,C2SP3,SPC.4,SPC.5,SPC.6,ATSm2,ATSm3,ATSm4,fragC,Kier1,Kier2,Kier3,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,nB
"3,5,6-TRICHLORO-2-PYRIDINOL",C5H2Cl3NO,4.870990012,-0.831112674,-0.553188101,-0.984731493,-1.480806682,-0.670206419,-1.37993875,-0.88654452,-1.129592074,-1.184811372,-1.389875665,-0.87184863,-0.465679681,-1.434911109,-1.102182464,-0.877321528,-1.733970665,-1.302537909,-0.511659629,-1.143370562,-1.230429263,-0.675542798,-1.157403669,-1.249342732,-1.127461764,-1.029742618,-1.137481374,-1.046042354,-1.111476854,-1.128688064,-1.057201431,-1.150487714,-0.991455745,-0.892498319,-0.931316255,-0.847992068,-0.829484428,-0.818939847,-1.087839943,-0.534351208,-0.528152824,-0.459413049,-1.001486806,-0.540966831,-1.828193521,-0.781068769,-1.343766616,0.350859556,-0.710051845,-1.28768241,-1.005422684,-0.514989719,-0.898151487,-0.240326449,0.474606651,0.308803355,2.093696696,1.191276621,-1.156581364,-1.036782692,-1.082163324,-1.135325129,-1.237552454,-1.167157267,-0.766331088,-0.834882584,-0.786592999,-1.005938285,-0.622370675,-0.562843992,-0.757470741,-0.618288528,-0.878499224,-0.58551959,-0.170983503,-0.705470916,-1.161105361,-1.08328779,-0.785739082,-0.91170584,-0.886113544,-0.827042241,-0.826980775,-0.951731106,-1.218246654
"Tris(2,3-dibromopropyl)phosphate",C9H15Br6O4P,5.28447196,2.719586124,-0.254751923,-0.436866402,-1.76083269,0.006963608,-0.322804431,-0.88654452,-0.805949261,0.513871264,0.353854942,-0.269566189,-0.141124267,0.575841156,0.354549108,-0.364373428,-0.195826415,0.132780453,3.032626382,-0.422518563,-0.257562291,0.434252737,-0.01679393,-0.190665475,-0.3065166,-0.408202094,-0.933459805,-0.705757225,-0.650111198,-0.764598492,1.19391594,1.208128647,1.165791612,1.809533385,-0.357038088,-0.119897541,-0.040350125,-0.1813806,1.352853253,1.087984992,0.724766466,2.545975651,1.357323828,0.809953055,-1.051860061,-0.427116349,-1.073350526,-1.854499777,0.168354676,-0.786948451,-0.488938845,-0.291820553,-0.511772619,3.346252905,-1.257404316,-2.070272111,1.184631683,-0.822934435,0.978781349,1.316148429,1.286795229,1.112034373,1.131964012,1.037106289,2.177272234,2.041901901,1.902088765,1.16390387,-0.019244725,-0.285008082,-0.6293957,-0.576082572,2.907065616,2.320261818,5.92595515,-0.41923213,0.274739779,0.487142747,0.904369,-0.022743111,-0.226658174,-0.457360256,-0.474630352,-0.365393594,-0.348224486
5-Chlorobenzotriazole,C6H4ClN3,4.881892418,-1.14630676,-0.554308637,-1.084343328,-1.200780673,-0.926843466,-1.288014026,-0.88654452,-0.763524173,-1.279024022,-1.389875924,-0.827734351,-0.461252667,-1.41131925,-1.378587942,-0.862453467,-1.502422068,-1.298107914,-0.511659629,-1.067491405,-1.167999297,-0.982245448,-1.265964241,-1.193622876,-1.129748519,-0.998404441,-0.881693138,-0.86865968,-0.816535683,-0.802646438,-1.249764839,-1.228000928,-1.117269602,-1.036762638,-0.925583029,-0.856208413,-0.765252566,-0.739913398,-1.087839943,-0.580158347,-0.554488228,-0.547674389,-1.279270893,-0.975286243,-1.494972766,-0.750928219,-0.963587538,0.680509681,-0.775417468,-1.159289087,-0.930253675,-0.508132284,-0.811898346,-0.68686114,0.588638835,0.67660701,1.624013106,0.585849021,-0.933393735,-1.061681434,-1.114467305,-1.135325129,-1.237552454,-1.167157267,-0.955478289,-1.133257491,-1.11448102,-1.005938285,-0.622370675,-0.877237258,-0.805227536,-0.772136043,-1.079005836,-0.941841662,-0.954245224,-0.673358254,-1.331234911,-1.160190316,-0.896104655,-1.073677862,-1.012542871,-0.915945002,-0.938621945,-0.964441533,-1.121577525
Bis(2-chloroethyl) phosphate,C4H9Cl2O4P,4.927833227,-0.651364577,-0.527415765,-1.134149246,-1.900845695,-0.45674196,-1.012239856,-0.88654452,-1.472629214,-1.176246586,-0.312305287,-0.533026463,-0.395124156,-0.355734803,-0.930362843,-0.793069183,-1.733970665,-1.054458192,-0.511659629,-1.21924972,-1.167999297,0.323396358,-1.009761292,-1.135674227,-1.129748519,-1.296117129,-1.338457844,-1.208944809,-1.27928821,-1.120493122,-0.963475878,-0.923484731,-1.043622466,-1.145935636,-1.053147314,-0.933947672,-0.89288211,-0.781030919,0.132506655,-0.458005975,-0.426786361,-0.407176746,-0.591872984,0.35698189,-1.028227383,-0.522656205,-0.564449398,0.077249953,-0.432471803,-0.613617465,-0.712506028,-0.416867894,-0.557539592,-0.167228243,0.293298841,-0.072413485,2.351265117,-0.101078449,-0.848944363,-0.613504078,-0.554531647,-0.676908514,-0.640022215,-0.552013949,-0.67963862,-0.705399133,-0.655437791,0.440623151,-0.622370675,-0.906483143,-0.911594943,-0.861993885,-0.252918594,-0.736078212,-0.766703685,-0.627369751,-0.81119352,-0.540922605,0.220535256,-1.388832728,-1.36047638,-1.270916458,-1.125416683,-0.998704423,-1.218246654
"bis(1,3-dichloro-2-propyl) phosphate ",C6H10Cl4O4P-,5.185820335,0.030159213,-0.446737149,-0.735701906,-1.900845695,-0.128950093,-0.736465686,-0.88654452,-1.038681172,-0.659504473,-0.483953935,-0.459502666,-0.355557724,-0.168209773,-0.444785652,-0.654300615,-0.923550576,-0.642468663,-0.511659629,-0.839853931,-0.767407014,0.348031109,-0.552359417,-0.718889706,-0.770727932,-0.883497789,-0.924324511,-0.966401153,-1.203934902,-0.998739696,-0.373856945,-0.33383064,-0.586396497,-0.490897647,-0.509924123,-0.760140385,-0.829484428,-0.655539294,0.539288855,-0.334506333,-0.400699404,-0.038820744,-0.347046331,0.623435516,-1.045951892,-0.45555083,-0.933652177,-0.469969254,-0.231897837,-0.546852937,-0.671769275,-0.376530042,-0.640272197,0.406433762,-0.012805252,-0.474809039,1.457351187,-0.566791988,-0.281927145,-0.140427979,-0.037667962,-0.229672793,-0.135212185,-0.090656461,0.009960551,0.150317582,0.197071061,0.440623151,-0.220286708,-0.614024291,-0.529540584,-0.527069204,0.380682301,-0.209123034,0.145263013,-0.562351523,-0.328556498,-0.200932488,0.181582701,-0.960674126,-0.985234137,-0.971589176,-0.862379195,-0.744495888,-0.831570135
bis(1-chloro-2-propyl) 1-hydroxy-2-propyl phosphate,C9H19Cl2O5P,5.078979066,-0.033527076,-0.393698429,-0.586284154,-1.340793677,0.006963608,-0.276842069,-0.207226534,-1.09928844,-0.482498887,0.708050565,-0.392105851,-0.215830116,0.424611292,-0.220673102,-0.599784392,-0.609306052,-0.332369017,-0.511659629,-0.650156037,-0.569712121,0.705234999,-0.320763531,-0.524984609,-0.537478888,-0.721583871,-0.799475491,-0.930200608,-0.890502121,-0.84010903,-0.203446849,-0.264622414,-0.41148455,-0.475301505,-0.72014242,-0.755716199,-0.600084921,-0.56641172,0.742679954,-0.385028914,-0.39573046,0.015216812,-0.323505307,0.73534604,-0.236532684,-0.127985608,-0.265095793,-0.051313596,-0.086839879,0.088694012,-0.285255078,-0.211144849,-0.285578157,-0.084595489,0.125109779,-0.093592198,1.184631683,-0.136006965,-0.113028399,-0.078181124,0.037707992,-0.084321183,0.029623743,0.063129369,-0.037326249,0.09402043,0.131493457,1.16390387,-0.019244725,-0.445860451,-0.314635007,-0.367775759,0.284439127,-0.123806482,0.090103737,-0.349060018,-0.087237987,-0.026889929,0.374181446,-0.934306587,-0.954891098,-0.926178413,-0.815544363,-0.63341781,-0.638231876
Tri-o-tolyl phosphate,C21H21O4P,5.206147252,0.397751932,0.006706556,0.310222359,0.759401388,0.27879101,0.22874391,1.101089587,0.575896461,0.542420552,1.947735244,-0.159280493,0.074692632,0.503250821,0.339608272,0.014762124,0.730367971,0.434020109,0.669769042,0.488031331,0.507204795,0.48352224,0.417448356,0.509175912,0.500708032,0.458820823,0.427699019,0.579362145,0.10804479,0.152649674,0.358906468,0.291811728,0.107114033,0.023775058,-0.075154462,-0.075655687,-0.335649854,-0.325173086,0.132506655,-0.236829344,-0.259084493,0.199845125,-0.022180196,0.031908466,0.307018902,-0.000599132,-0.015634456,0.09702896,-0.028637612,0.114372677,0.107563616,-0.093156633,-0.026818733,0.052066374,0.118382216,0.616600656,1.624013106,-0.916077142,0.707336936,0.992464783,1.0068274,0.888416512,0.936221348,0.883320459,0.72714369,0.865291417,0.852847101,0.078982792,-0.622370675,0.160991667,0.119517674,0.210854279,0.901999493,0.56876318,0.465186815,-0.033087286,0.359201258,0.238221412,0.079873252,-0.022743111,-0.044599943,-0.092794976,-0.120646155,-0.078027424,0.521797682
Tris(2-ethylhexyl)phosphate,C24H51O4P,5.389756427,0.873188301,0.361543063,0.160804607,1.179440401,-0.192909481,1.745501846,3.422092706,-0.163512215,1.170504889,1.974981061,0.680116195,1.494103777,2.487386629,1.430289347,0.381507625,0.730367971,1.55480883,1.851197712,0.260393857,0.678887202,0.458887489,0.909589614,0.843495046,0.317767606,0.189834798,-0.202636275,-0.155508931,-0.053756793,-0.374168034,1.279120988,1.457278263,0.911095266,0.862067723,0.397836707,0.448926308,0.301663685,-0.076804246,3.183373151,0.390773379,0.194331669,1.285099361,1.277284346,0.210432395,2.315796499,1.016217911,-0.05554827,0.340970053,0.70560637,0.923250611,2.091055541,0.881002491,0.448453679,-0.106842769,0.061197935,0.287624642,0.775552426,-1.00921985,2.233457745,0.631433023,0.705323584,0.910778298,0.956825839,0.883320459,0.368552121,0.521878788,0.557747883,2.248824947,1.790133124,-0.285008082,-0.460076155,-0.517538827,0.901999493,0.217459728,0.141585728,1.425858324,1.360673078,2.106143299,1.995040541,0.027480772,-0.155857751,-0.374213789,-0.294915298,-0.144342694,0.521797682
Di(2-ethylhexyl) adipate,C22H42O4,5.344150783,0.41347591,0.283105519,-0.187836815,1.039427397,-0.635828248,1.193953505,1.642027984,0.042552498,0.656617704,-0.532996406,2.181227061,0.412252398,1.386433224,0.982064247,0.708604963,0.449201818,0.970049497,1.851197712,-0.043122774,0.377142365,0.37266586,0.562195785,0.531463854,0.038783455,-0.131381524,-0.434063726,-0.452353405,-0.428211885,-0.549773937,0.784931709,0.90361245,0.423182991,0.347395017,-0.008266822,-0.031413832,-0.123768127,-0.347752071,2.776590951,1.200257393,1.358306857,-0.24506408,1.48444536,0.173128888,1.937673657,0.720499308,0.1440208,0.397010574,0.454888913,0.704981962,1.610943804,0.568384138,0.474857701,-0.200599163,0.15538381,-0.001817774,-0.421383175,-0.671577534,1.666440528,-0.040833011,0.070011972,0.206382036,0.307784372,0.319439085,-0.194948917,-0.086130457,-0.032450553,1.16390387,1.790133124,-0.69079474,-0.800886009,-0.800727175,-0.036371452,-0.37975614,-0.351170472,0.795498672,0.998695312,2.045430779,2.254724242,-0.135746847,-0.297458597,-0.514923195,-0.45829262,-0.359867322,0.231790293
dibutyl sebacate,C18H34O4,5.214337753,0.011055751,0.010441677,-0.586284154,0.479375379,-0.962820622,0.642405165,0.302261956,-0.727159812,0.125600948,-0.772759596,2.316020689,-0.0857866,0.854104104,0.466605383,0.411243746,0.035722181,0.425160119,1.851197712,-0.422518563,-0.01824742,0.360348484,0.113478756,0.107992951,-0.322523887,-0.557058438,-0.720302942,-0.799878643,-0.650111198,-0.689673307,0.239619401,0.383166587,-0.080072438,-0.249157437,-0.414370351,-0.429590526,-0.303951013,-0.288333689,2.369808752,1.087984992,1.296195054,-0.532814062,0.660509509,0.175793424,1.541826307,0.424780705,0.074171625,0.459644097,0.204171455,0.448195316,1.145380907,0.289044514,0.298830882,-0.29753374,0.246205904,-0.10065177,-0.178965838,-0.462006442,1.171808487,-0.352067287,-0.253027831,-0.162587434,-0.063096466,-0.039394517,-0.510194252,-0.474580809,-0.425916177,0.440623151,1.790133124,-1.050519128,-1.040538289,-0.966011143,-0.357182032,-0.680873384,-0.667416988,0.288039329,0.51605829,1.84305571,2.557688559,-0.552605076,-0.679780882,-0.827042241,-0.75291639,-0.632865183,-0.154886227
