NAME,CCS,MW,WPATH,WPOL,MLogP,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings3,nRings4,nRings5,nRings6,nRings7,nRings8,nRings9,SC-3,SC-4,SC-5,SC-6,VC-3,VC-4,VC-5,VC-6,HybRatio,nAtom,nAromBond,nAtomLAC,MDEC-11,MDEC-12,MDEC-13,MDEC-14,MDEC-22,MDEC-23,MDEC-24,MDEC-33,MDEC-34,MDEC-44,MDEO-11,MDEO-12,MDEO-22,MDEN-11,MDEN-12,MDEN-13,MDEN-22,MDEN-23,MDEN-33,ALogP,ALogp2,AMR,Wlambda1.unity,Wlambda2.unity,Wlambda3.unity,Wnu1.unity,Wnu2.unity,Wgamma1.unity,Wgamma2.unity,Wgamma3.unity,Weta1.unity,Weta2.unity,Weta3.unity,WT.unity,WA.unity,WV.unity,WK.unity,WG.unity,WD.unity,khs.sLi,khs.ssBe,khs.ssssBe,khs.ssBH,khs.sssB,khs.ssssB,khs.sCH3,khs.dCH2,khs.ssCH2,khs.tCH,khs.dsCH,khs.aaCH,khs.sssCH,khs.ddC,khs.tsC,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.sNH3,khs.sNH2,khs.ssNH2,khs.dNH,khs.ssNH,khs.aaNH,khs.tN,khs.sssNH,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.aasN,khs.ssssN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.sSiH3,khs.ssSiH2,khs.sssSiH,khs.ssssSi,khs.sPH2,khs.ssPH,khs.sssP,khs.dsssP,khs.sssssP,khs.sSH,khs.dS,khs.ssS,khs.aaS,khs.dssS,khs.ddssS,khs.sCl,khs.sGeH3,khs.ssGeH2,khs.sssGeH,khs.ssssGe,khs.sAsH2,khs.ssAsH,khs.sssAs,khs.sssdAs,khs.sssssAs,khs.sSeH,khs.dSe,khs.ssSe,khs.aaSe,khs.dssSe,khs.ddssSe,khs.sBr,khs.sSnH3,khs.ssSnH2,khs.sssSnH,khs.ssssSn,khs.sI,khs.sPbH3,khs.ssPbH2,khs.sssPbH,khs.ssssPb,nHBDon,BCUTw-1l,BCUTw-1h,BCUTc-1l,BCUTc-1h,BCUTp-1l,BCUTp-1h,nBase,PetitjeanNumber,topoShape,geomShape,nSpiroAtoms,bpol,VABC,ECCEN,VAdjMat,nAtomLC,nAcid,XLogP,apol,LipinskiFailures,Zagreb,WTPT-1,WTPT-2,WTPT-3,WTPT-4,WTPT-5,SP-0,SP-1,SP-2,SP-3,SP-4,SP-5,SP-6,SP-7,VP-0,VP-1,VP-2,VP-3,VP-4,VP-5,VP-6,VP-7,nRotB,MOMI-X,MOMI-Y,MOMI-Z,MOMI-XY,MOMI-XZ,MOMI-YZ,MOMI-R,FMF,TopoPSA,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,PPSA-1,PPSA-2,PPSA-3,PNSA-1,PNSA-2,PNSA-3,DPSA-1,DPSA-2,DPSA-3,FPSA-1,FPSA-2,FPSA-3,FNSA-1,FNSA-2,FNSA-3,WPSA-1,WPSA-2,WPSA-3,WNSA-1,WNSA-2,WNSA-3,RPCG,RNCG,RPCS,RNCS,THSA,TPSA,RHSA,RPSA,GRAV-1,GRAV-2,GRAV-3,GRAVH-1,GRAVH-2,GRAVH-3,GRAV-4,GRAV-5,GRAV-6,LOBMAX,LOBMIN,SCH-3,SCH-4,SCH-5,SCH-6,SCH-7,VCH-3,VCH-4,VCH-5,VCH-6,VCH-7,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,SPC-4,SPC-5,SPC-6,VPC-4,VPC-5,VPC-6,tpsaEfficiency,nAtomP,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,fragC,Kier1,Kier2,Kier3,naAromAtom,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,nHBAcc,nB,nA,nR,nN,nD,nC,nF,nQ,nE,nG,nH,nI,nP,nL,nK,nM,nS,nT,nY,nV,nW
(-)-chloramphenicol,167.16,345.001527,880,29,1.68,1,1,1,1,0,0,0,1,0,0,0,1.59,0,0.595,0,0.83,0,0.139,0,0.364,32,6,3,0,0,0,0,3.84,10.4,0,5.13,0,0,1.62,0,0,0,0,0,0,0.143,0,-1.13,1.28,72.2,1.19,3.21,7.1,0.104,0.279,0,0,0,0.473,0.349,0.458,11.5,35.1,73.7,0.213,0,1.28,0,0,0,0,0,0,0,0,1,0,0,4,3,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,35,-0.394,0.246,3.57,9.81,0,0.455,0.833,0.594,0,16.8,259,333,5.32,7,0,0.685,37.9,0,94,38.7,1.94,23.1,12.3,5.99,15.3,9.36,8.4,6.58,4.23,3.1,2.06,1.27,11.6,6.36,4.99,2.95,1.62,1.08,0.569,0.28,7,3780,2700,1570,1.4,2.4,1.72,7.02,0.188,115,0.543,-0.158,-0.199,0.197,-0.0747,194,390,19.8,306,-617,-52.1,-113,1010,71.9,0.387,0.78,0.0395,0.613,-1.23,-0.104,96.8,195,9.88,153,-308,-26.1,0.122,0.196,0.18,3.73,386,114,0.773,0.227,1830,42.8,12.2,1970,44.4,12.5,4370,66.1,16.4,1.92,1.92,0,0,0,0.0833,0.0962,0,0,0,0.0278,0.0285,0,0,1,5,1,2,2,0,0,3.79,3.93,4.93,1.3,1.11,1.26,0.358,9,40,26.5,42.8,44.3,33.8,644,18,8.44,5.38,6,1100,1240,1590,1600,1360,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(?)-Riboflavin,188.09,399.127484,1700,49,2.23,3,3,1,1,0,0,0,3,0,0,0,2.37,0,0.77,0,0.996,0,0.218,0,0.412,47,6,5,0.333,1.9,4.92,0,1.34,13.2,0,15.6,0,0,2.63,0,0,0,0,0,1.14,1.04,0,-0.395,0.156,93.3,0.655,6.64,10.8,0.0362,0.367,0,0,0,0.426,0.373,0.47,18.1,83,148,0.197,0,1.27,0,0,0,0,0,0,2,0,2,0,0,2,3,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,16,-0.418,0.328,4.21,11.7,0,0.455,0.833,0.796,0,29.1,333,490,5.86,6,0,-1.4,52.5,0,144,54.3,2.01,27.8,15,12.9,19.9,12.7,12.1,10.4,7.99,6.7,5.09,3.92,14.7,8.29,6.5,4.57,2.89,2.05,1.29,0.827,5,5710,3640,2440,1.57,2.34,1.49,7.86,0.298,155,0.924,-0.375,-0.124,-0.101,0.173,354,1110,34,241,-755,-63,114,1870,97,0.596,1.87,0.0572,0.404,-1.27,-0.106,211,661,20.3,143,-449,-37.5,0.105,0.125,0.907,3.54,325,270,0.546,0.454,2410,49.1,13.4,2650,51.5,13.8,5740,75.8,17.9,1.96,1.93,0,0,0,0.156,0.519,0,0,0,0.0473,0.119,0,0,2,5,2,4,3,0,0,5.82,8.44,12.9,2,2.28,2.9,0.412,16,33.1,32.5,49.7,58.3,54,1700,21.7,8.79,4.45,6,1840,2230,3280,3620,3250,10,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acephate,139.5,206.001101,122,11,1.24,0,0,0,0,0,0,0,0,0,0,0,1.34,0.177,0,0,0.631,0.0685,0,0,0.75,20,0,2,0.646,0,1.19,0,0,0,0,0,0,0,0.25,0.707,0,0,0,0,0,0,0,-0.283,0.0803,41.4,0.682,2.1,5.81,0.0793,0.245,0,0,0,0.418,0.375,0.527,8.6,17.6,34.6,0.257,0,1.32,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,32,-0.31,0.319,4.05,8.47,0,0.4,0.667,0.704,0,22.9,151,70,4.17,6,0,-0.269,23.7,0,42,18.3,1.83,16.4,7.49,2.84,8.2,4.54,4.12,2.61,1.52,0.577,0,0,7.12,4.29,3.29,2.25,1.09,0.386,0,0,4,793,663,356,1.2,2.23,1.86,4.43,0,90.5,0.451,-0.34,0.296,-0.317,0.185,238,259,11.9,119,-129,-23.2,119,388,35,0.667,0.723,0.0332,0.333,-0.361,-0.0648,85.3,92.5,4.24,42.6,-46.2,-8.29,0.294,0.286,0.389,3.71,277,80.5,0.775,0.225,1300,36,10.9,1400,37.5,11.2,2240,47.4,13.1,1.22,1.18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.95,2.65,2.25,1.1,1.17,0.771,0.495,6,24.5,24.3,26.9,20.3,15.4,271,10,4,3.7,0,370,380,451,385,261,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamine E (alpha tocapherol),225.22,453.370281,3410,48,4.43,2,1,1,1,0,0,0,2,0,0,0,2.95,0.177,0.546,0,2.2,0.102,0.206,0,0.793,81,6,13,3.15,13.5,12,1.47,13.1,17,2.88,7.72,2.07,0,0,0.2,0,0,0,0,0,0,0,10.4,108,135,1.02,3.53,44.6,0.0207,0.0719,0,0,0,0.377,0.372,0.568,49.2,207,416,0.431,0,1.32,0,0,0,0,0,0,8,0,11,0,0,0,3,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,16,-0.386,0.105,5.72,10.6,0,0.474,0.9,0.882,0,56.6,484,945,6,13,0,11.4,86,2,154,61.1,1.97,5.62,5.62,0,23.2,14.5,13.7,10.5,7.6,5.68,4.53,2.62,21.9,13,11.4,7.87,5.27,3.57,2.82,1.44,12,19700,18800,1360,1.05,14.5,13.8,10.8,0.123,29.5,0.189,-0.075,-0.00235,4.24E-05,-0.0812,738,1300,24.2,102,-179,-10.7,636,1480,34.9,0.879,1.55,0.0288,0.121,-0.214,-0.0127,620,1090,20.3,85.6,-151,-8.97,0.124,0.204,2.75,3.83,797,42.5,0.949,0.0506,2170,46.6,13,2690,51.8,13.9,4860,69.7,16.9,1.47,1.34,0,0,0,0.096,0.369,0,0,0,0.0411,0.14,0,0,0,2,4,8,11,4,0,5.71,8.07,11.4,3.49,4.2,5,0.0685,8,32.5,33,47.3,51,44.3,5790,27.2,12.5,8.07,6,2180,2460,3350,3480,2980,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alprazolam,191.89,331.072074,926,40,2.78,4,3,2,3,0,0,1,2,1,0,0,1.38,0,0.359,0,0.692,0,0.112,0,0.118,35,17,0,0,1.48,2,0,10.3,19.3,0,8.2,0,0,0,0,0,0,0,0,1.31,1.31,0,3.77,14.2,89.2,1.49,3.36,8.2,0.114,0.258,0,0,0,0.453,0.407,0.498,13,44.7,98.8,0.221,0,1.36,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,35,-0.276,0.14,6.46,11.9,0,0.444,0.8,0.704,0,19.3,256,346,5.64,0,0,5.5,45.2,1,122,46,2.09,15.4,0,12.8,15.1,10.7,9.78,8.58,7.62,6.43,4.63,3.64,12.7,7.43,5.63,4.01,2.96,2.09,1.26,0.82,1,3240,2160,1590,1.5,2.04,1.36,6.75,0.571,43.1,0.254,-0.112,-0.0752,0.0826,-0.0324,282,359,16.3,229,-291,-24.5,53.6,650,40.7,0.552,0.702,0.0318,0.448,-0.569,-0.0479,144,184,8.31,117,-149,-12.5,0.11,0.217,0.497,2.26,501,10.4,0.98,0.0204,2060,45.4,12.7,2190,46.8,13,4560,67.5,16.6,1.41,1.06,0,0,0.0962,0.39,0.488,0,0,0.0224,0.105,0.12,0,0,2,11,2,2,0,0,0,3.5,6.29,9.32,1.38,2.05,2.54,0.14,19,31.2,28.5,42.5,46.5,44.3,982,15.5,6.48,2.92,17,1780,2150,3140,3540,3140,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-Aminoantipyrine,156.955,226.095062,338,24,2.23,2,2,2,2,0,0,1,1,0,0,0,1.05,0,0.517,0,0.454,0,0.147,0,0.182,28,6,0,0.333,1.91,3.27,0,6.08,5.84,0,3.3,0,0,0,0,0,0,0,0.667,0,0,1,0.423,0.179,60.4,0.5,2.51,7.86,0.046,0.231,0,0,0,0.401,0.528,0.54,10.9,24.9,45.7,0.292,0,1.47,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.9,16,-0.297,0.264,5.36,10.3,0,0.429,0.75,0.82,0,17.1,192,174,5,0,0,1.26,32.1,0,78,29.9,2,11.7,2.53,9.15,11,7.13,6.41,5.9,4.52,3.2,1.64,0.995,8.77,4.72,3.48,2.6,1.59,0.936,0.403,0.2,1,1520,1220,395,1.25,3.86,3.09,5.28,0.393,49.6,0.246,-0.0894,-0.126,0.15,-0.0566,286,345,18.2,123,-148,-18.9,164,493,37.1,0.7,0.843,0.0444,0.3,-0.362,-0.0462,117,141,7.45,50.3,-60.6,-7.74,0.219,0.247,1.47,4.57,347,61.9,0.849,0.151,1320,36.4,11,1470,38.3,11.4,2620,51.2,13.8,1.7,1.7,0,0,0.0642,0.396,0.644,0,0,0.025,0.119,0.146,0,0,1,8,0,1,0,0,0,3.2,5.19,7.25,1.13,1.43,1.6,0.244,13,16.9,17.5,25.7,27.5,20.2,631,11.5,4.47,1.97,6,979,1150,1630,1530,1070,4,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Azinphos-methyl,167.76,339.994971,728,30,1.57,2,2,1,1,0,0,0,2,0,0,0,1.59,0.177,0.243,0,2.44,0.335,0.0462,0,0.3,31,6,0,0.25,1.31,0.863,0,4.11,6.55,0,2.38,0,0,0,0.333,0.5,0,0,0,1,1.41,0,2.93,8.56,83.5,1.75,2.76,10.1,0.12,0.188,0,0,0,0.449,0.349,0.593,14.6,50.4,114,0.269,0,1.39,0,0,0,0,0,0,2,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,32,-0.326,0.257,5.34,11.3,0,0.5,1,0.645,0,26.2,249,306,5.32,5,0,2.21,40.7,0,96,38,2,26.6,8,9.66,13.9,9.09,7.96,7.12,4.87,3.69,2.57,1.73,12.9,9.51,9.98,8.02,4,2.56,1.68,1.04,5,2940,2800,845,1.05,3.48,3.32,6.15,0.323,131,0.527,-0.339,0.269,-0.372,0.253,306,461,17.7,171,-257,-27.2,136,718,45,0.642,0.966,0.0372,0.358,-0.539,-0.057,146,220,8.46,81.5,-123,-13,0.171,0.216,1.03,3.86,403,74.1,0.845,0.155,2320,48.1,13.2,2440,49.4,13.5,4940,70.3,17,1.31,1.31,0,0,0,0.139,0.28,0,0,0,0.039,0.0517,0,0,1,5,1,0,0,0,0,3.8,4.97,5.68,4.69,4.48,3.43,0.412,11,40.3,40.5,54.2,48.3,37.2,682,15.4,6.64,3.56,6,1260,1450,1950,1930,1430,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benzyl butyl phthalate,177.93,335.125359,1340,31,3.11,2,2,2,2,0,0,0,2,0,0,0,0.948,0,0.248,0,0.346,0,0.0449,0,0.263,43,12,4,0,1.88,0.701,0,16,16.7,0,4.33,0,0,0.2,1.26,0.2,0,0,0,0,0,0,4.45,19.8,87.6,0.967,4.45,20.7,0.037,0.17,0,0,0,0.331,0.334,0.529,26.1,117,232,0.345,0,1.19,0,0,0,0,0,0,1,0,4,0,0,9,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,16,-0.312,0.295,4.93,9.73,0,0.5,1,0.914,0,27.6,305,492,5.58,7,0,4.95,50,0,108,46.1,2.01,11.1,11.1,0,16.5,11.2,9.14,7.35,5.72,4.48,2.56,1.67,13.2,7.69,5.1,3.31,2.03,1.27,0.596,0.329,9,5890,5020,1220,1.17,4.84,4.12,8.16,0.349,52.6,0.55,-0.373,0.207,-0.0427,-0.318,436,796,23.5,182,-332,-21.7,254,1130,45.1,0.706,1.29,0.038,0.294,-0.537,-0.0351,269,492,14.5,112,-205,-13.4,0.161,0.171,1.03,1.51,557,60.7,0.902,0.0982,1930,44,12.5,2140,46.2,12.9,4080,63.9,16,2.24,2.21,0,0,0,0.185,0.168,0,0,0,0.0599,0.0505,0,0,2,9,3,3,2,0,0,2.38,3.67,5.07,0.69,0.851,0.879,0.169,12,26.1,26,33.5,35.3,34.6,1430,19.3,10.8,6.43,12,1250,1380,1750,1740,1540,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bisacodyl,185.67,384.120608,1950,39,3.33,3,3,3,3,0,0,0,3,0,0,0,1.84,0,0.167,0,0.642,0,0.0667,0,0.136,46,18,2,0.0714,3.2,2.8,0,17,26,0,7.05,0,0,0.0714,0.816,0.1,0,0,0,0,0,0,3.69,13.6,100,1.24,5.47,15.8,0.0552,0.244,0,0,0,0.352,0.358,0.401,22.5,113,242,0.276,0,1.11,0,0,0,0,0,0,2,0,0,0,0,12,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,-0.324,0.265,3.95,12.1,0,0.5,1,0.86,0,27.8,336,591,5.86,3,0,3.85,55.7,0,136,54.8,2.03,13.8,10.7,3.08,19.2,13,11.8,8.68,7.62,6.22,3.85,3.25,15.1,8.5,6.01,3.93,2.87,1.97,1.06,0.725,7,6540,5210,1820,1.25,3.58,2.86,8.3,0.413,65.5,0.576,-0.32,0.0346,0.0187,0.0131,445,847,24,202,-384,-35.1,244,1230,59.1,0.688,1.31,0.0371,0.312,-0.593,-0.0543,288,548,15.5,130,-248,-22.7,0.138,0.146,0.496,2.17,523,124,0.808,0.192,2400,49,13.4,2590,50.9,13.7,5280,72.7,17.4,2.52,2.52,0,0,0,0.269,0.273,0,0,0,0.0804,0.0691,0,0,3,14,2,2,0,1,0,3.04,5.33,7.28,1.12,1.65,1.92,0.181,9,30.5,31.3,43.7,41.5,43.7,1600,21.7,10.7,6.5,18,1730,2010,2760,2900,2820,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bumetanide,194.54,387.098493,1450,37,2.45,2,2,2,2,0,0,0,2,0,0,0,2.49,0.289,0.636,0.118,0.663,0.0294,0.104,0.0085,0.235,45,12,4,0,1.82,0.89,0,10.9,15.9,0,6.28,0,0,1.44,0.816,0,0,0.2,0,0,0,0,2.84,8.05,95.3,1.55,6.24,10.1,0.0866,0.348,0,0,0,0.293,0.348,0.448,17.9,88.7,205,0.174,0,1.09,0,0,0,0,0,0,1,0,3,0,0,7,0,0,0,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11.9,32,-0.328,0.291,4.52,12.6,0,0.455,0.833,0.879,0,31.2,322,432,5.7,5,1,2.57,52.4,0,124,49.7,1.99,21.6,12.8,5.47,18.4,11.8,11.1,7.85,6.18,5.36,3.89,2.62,13.9,8.12,5.78,3.65,2.35,1.64,0.931,0.547,8,4880,3100,2470,1.58,1.98,1.26,7.6,0.289,127,0.544,-0.247,-0.00628,0.00611,-0.00334,395,899,29.4,223,-507,-40.2,172,1410,69.6,0.64,1.46,0.0476,0.36,-0.821,-0.0651,244,555,18.1,137,-313,-24.8,0.128,0.144,1.18,3.7,433,184,0.702,0.298,2550,50.5,13.7,2780,52.7,14.1,5600,74.8,17.8,1.21,1.06,0,0,0,0.158,0.211,0,0,0,0.0529,0.0552,0,0,1,11,1,2,2,0,0,3.95,5.56,8.64,1.07,1.33,1.69,0.349,21,35.7,36.6,45.3,48.3,51.9,1520,21.3,9.8,6.28,12,1780,2060,2880,3030,2990,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
